"Mouse","ID","Day","Volume","Group","death","sac_day","Baseline"
"401","401:L",0,83.72,"Vehicle",0,NA,83.72
"416","416:L",0,147.93,"Vehicle",1,19,147.93
"414","414:L",0,195.88,"Vehicle",0,NA,195.88
"411","411:L",0,96.94,"Vehicle",1,19,96.94
"418","418:L",0,93.81,"Vehicle",1,14,93.81
"404","404:L",0,278.73,"Vehicle",1,19,278.73
"412","412:L",0,309.55,"Vehicle",1,14,309.55
"no tag","no tag:L",0,244.12,"Vehicle",0,NA,244.12
"425","425:L",0,176.63,"JQ1",0,NA,176.63
"419","419:L",0,138.45,"JQ1",0,NA,138.45
"406","406:L",0,127.98,"JQ1",1,19,127.98
"407","407:L",0,72.15,"JQ1",0,NA,72.15
"403","403:L",0,428.58,"JQ1",1,19,428.58
"405","405:L",0,184.99,"JQ1",1,14,184.99
"408","408:L",0,441.27,"JQ1",1,19,441.27
"409","409:L",0,58.23,"JQ1",1,19,58.23
"401","401:L",5,206.2,"Vehicle",0,NA,83.72
"416","416:L",5,296.25,"Vehicle",1,19,147.93
"414","414:L",5,56.23,"Vehicle",0,NA,195.88
"411","411:L",5,370.76,"Vehicle",1,19,96.94
"418","418:L",5,669.19,"Vehicle",1,14,93.81
"404","404:L",5,360.09,"Vehicle",1,19,278.73
"412","412:L",5,237.92,"Vehicle",1,14,309.55
"no tag","no tag:L",5,397.36,"Vehicle",0,NA,244.12
"425","425:L",5,192.48,"JQ1",0,NA,176.63
"419","419:L",5,107.06,"JQ1",0,NA,138.45
"406","406:L",5,122.95,"JQ1",1,19,127.98
"407","407:L",5,119.11,"JQ1",0,NA,72.15
"403","403:L",5,612.04,"JQ1",1,19,428.58
"405","405:L",5,148.56,"JQ1",1,14,184.99
"408","408:L",5,69.16,"JQ1",1,19,441.27
"409","409:L",5,96.11,"JQ1",1,19,58.23
"401","401:L",7,252.19,"Vehicle",0,NA,83.72
"416","416:L",7,347.58,"Vehicle",1,19,147.93
"414","414:L",7,70.17,"Vehicle",0,NA,195.88
"411","411:L",7,631.51,"Vehicle",1,19,96.94
"418","418:L",7,1154.11,"Vehicle",1,14,93.81
"404","404:L",7,717.82,"Vehicle",1,19,278.73
"412","412:L",7,498.78,"Vehicle",1,14,309.55
"no tag","no tag:L",7,503.15,"Vehicle",0,NA,244.12
"425","425:L",7,349.01,"JQ1",0,NA,176.63
"419","419:L",7,395.68,"JQ1",0,NA,138.45
"406","406:L",7,200.33,"JQ1",1,19,127.98
"407","407:L",7,229.92,"JQ1",0,NA,72.15
"403","403:L",7,1039.63,"JQ1",1,19,428.58
"405","405:L",7,300.52,"JQ1",1,14,184.99
"408","408:L",7,126.66,"JQ1",1,19,441.27
"409","409:L",7,105.43,"JQ1",1,19,58.23
"401","401:L",9,435.15,"Vehicle",0,NA,83.72
"416","416:L",9,531.66,"Vehicle",1,19,147.93
"414","414:L",9,114.12,"Vehicle",0,NA,195.88
"411","411:L",9,627.12,"Vehicle",1,19,96.94
"418","418:L",9,1371.49,"Vehicle",1,14,93.81
"404","404:L",9,1013.47,"Vehicle",1,19,278.73
"412","412:L",9,487.27,"Vehicle",1,14,309.55
"no tag","no tag:L",9,876.88,"Vehicle",0,NA,244.12
"425","425:L",9,417.51,"JQ1",0,NA,176.63
"419","419:L",9,515.8,"JQ1",0,NA,138.45
"406","406:L",9,310.6,"JQ1",1,19,127.98
"407","407:L",9,355.32,"JQ1",0,NA,72.15
"403","403:L",9,1229.83,"JQ1",1,19,428.58
"405","405:L",9,703.36,"JQ1",1,14,184.99
"408","408:L",9,157.6,"JQ1",1,19,441.27
"409","409:L",9,129.41,"JQ1",1,19,58.23
"401","401:L",12,487.95,"Vehicle",0,NA,83.72
"416","416:L",12,1396.55,"Vehicle",1,19,147.93
"414","414:L",12,142.94,"Vehicle",0,NA,195.88
"411","411:L",12,779.22,"Vehicle",1,19,96.94
"418","418:L",12,1821.52,"Vehicle",1,14,93.81
"404","404:L",12,1123.66,"Vehicle",1,19,278.73
"412","412:L",12,637.52,"Vehicle",1,14,309.55
"no tag","no tag:L",12,748.81,"Vehicle",0,NA,244.12
"425","425:L",12,493.14,"JQ1",0,NA,176.63
"419","419:L",12,485.28,"JQ1",0,NA,138.45
"406","406:L",12,345.13,"JQ1",1,19,127.98
"407","407:L",12,371.24,"JQ1",0,NA,72.15
"403","403:L",12,1615.16,"JQ1",1,19,428.58
"405","405:L",12,745.43,"JQ1",1,14,184.99
"408","408:L",12,231.75,"JQ1",1,19,441.27
"409","409:L",12,182.49,"JQ1",1,19,58.23
"401","401:L",14,514.28,"Vehicle",0,NA,83.72
"416","416:L",14,1184.12,"Vehicle",1,19,147.93
"414","414:L",14,160.35,"Vehicle",0,NA,195.88
"411","411:L",14,983.69,"Vehicle",1,19,96.94
"418","418:L",14,NA,"Vehicle",1,14,93.81
"404","404:L",14,1422.64,"Vehicle",1,19,278.73
"412","412:L",14,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",14,750.64,"Vehicle",0,NA,244.12
"425","425:L",14,639.29,"JQ1",0,NA,176.63
"419","419:L",14,548.22,"JQ1",0,NA,138.45
"406","406:L",14,461.58,"JQ1",1,19,127.98
"407","407:L",14,448.39,"JQ1",0,NA,72.15
"403","403:L",14,1923.54,"JQ1",1,19,428.58
"405","405:L",14,NA,"JQ1",1,14,184.99
"408","408:L",14,277.24,"JQ1",1,19,441.27
"409","409:L",14,218.72,"JQ1",1,19,58.23
"401","401:L",16,675.68,"Vehicle",0,NA,83.72
"416","416:L",16,1281.87,"Vehicle",1,19,147.93
"414","414:L",16,166.56,"Vehicle",0,NA,195.88
"411","411:L",16,1268.53,"Vehicle",1,19,96.94
"418","418:L",16,NA,"Vehicle",1,14,93.81
"404","404:L",16,1729.2,"Vehicle",1,19,278.73
"412","412:L",16,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",16,798.11,"Vehicle",0,NA,244.12
"425","425:L",16,791.99,"JQ1",0,NA,176.63
"419","419:L",16,692.1,"JQ1",0,NA,138.45
"406","406:L",16,591.08,"JQ1",1,19,127.98
"407","407:L",16,488.02,"JQ1",0,NA,72.15
"403","403:L",16,2118.23,"JQ1",1,19,428.58
"405","405:L",16,NA,"JQ1",1,14,184.99
"408","408:L",16,394.33,"JQ1",1,19,441.27
"409","409:L",16,305.34,"JQ1",1,19,58.23
"401","401:L",19,717.390483456667,"Vehicle",0,NA,83.72
"416","416:L",19,NA,"Vehicle",1,19,147.93
"414","414:L",19,203.347940693333,"Vehicle",0,NA,195.88
"411","411:L",19,NA,"Vehicle",1,19,96.94
"418","418:L",19,NA,"Vehicle",1,14,93.81
"404","404:L",19,NA,"Vehicle",1,19,278.73
"412","412:L",19,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",19,686.656705106667,"Vehicle",0,NA,244.12
"425","425:L",19,837.651748173333,"JQ1",0,NA,176.63
"419","419:L",19,736.822652393333,"JQ1",0,NA,138.45
"406","406:L",19,NA,"JQ1",1,19,127.98
"407","407:L",19,558.559109333333,"JQ1",0,NA,72.15
"403","403:L",19,NA,"JQ1",1,19,428.58
"405","405:L",19,NA,"JQ1",1,14,184.99
"408","408:L",19,NA,"JQ1",1,19,441.27
"409","409:L",19,NA,"JQ1",1,19,58.23
"401","401:L",21,771.53450721,"Vehicle",0,NA,83.72
"416","416:L",21,NA,"Vehicle",1,19,147.93
"414","414:L",21,223.53908845,"Vehicle",0,NA,195.88
"411","411:L",21,NA,"Vehicle",1,19,96.94
"418","418:L",21,NA,"Vehicle",1,14,93.81
"404","404:L",21,NA,"Vehicle",1,19,278.73
"412","412:L",21,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",21,701.880903,"Vehicle",0,NA,244.12
"425","425:L",21,892.97146224,"JQ1",0,NA,176.63
"419","419:L",21,794.4020235,"JQ1",0,NA,138.45
"406","406:L",21,NA,"JQ1",1,19,127.98
"407","407:L",21,589.378167466667,"JQ1",0,NA,72.15
"403","403:L",21,NA,"JQ1",1,19,428.58
"405","405:L",21,NA,"JQ1",1,14,184.99
"408","408:L",21,NA,"JQ1",1,19,441.27
"409","409:L",21,NA,"JQ1",1,19,58.23
"401","401:L",23,879.584152833333,"Vehicle",0,NA,83.72
"416","416:L",23,NA,"Vehicle",1,19,147.93
"414","414:L",23,243.81515803,"Vehicle",0,NA,195.88
"411","411:L",23,NA,"Vehicle",1,19,96.94
"418","418:L",23,NA,"Vehicle",1,14,93.81
"404","404:L",23,NA,"Vehicle",1,19,278.73
"412","412:L",23,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",23,724.6806,"Vehicle",0,NA,244.12
"425","425:L",23,947.890241743333,"JQ1",0,NA,176.63
"419","419:L",23,842.3148439,"JQ1",0,NA,138.45
"406","406:L",23,NA,"JQ1",1,19,127.98
"407","407:L",23,633.969242573333,"JQ1",0,NA,72.15
"403","403:L",23,NA,"JQ1",1,19,428.58
"405","405:L",23,NA,"JQ1",1,14,184.99
"408","408:L",23,NA,"JQ1",1,19,441.27
"409","409:L",23,NA,"JQ1",1,19,58.23
"401","401:L",26,1048.55082785333,"Vehicle",0,NA,83.72
"416","416:L",26,NA,"Vehicle",1,19,147.93
"414","414:L",26,313.80669375,"Vehicle",0,NA,195.88
"411","411:L",26,NA,"Vehicle",1,19,96.94
"418","418:L",26,NA,"Vehicle",1,14,93.81
"404","404:L",26,NA,"Vehicle",1,19,278.73
"412","412:L",26,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",26,723.5102435,"Vehicle",0,NA,244.12
"425","425:L",26,1095.80348052333,"JQ1",0,NA,176.63
"419","419:L",26,901.937676766667,"JQ1",0,NA,138.45
"406","406:L",26,NA,"JQ1",1,19,127.98
"407","407:L",26,737.54275749,"JQ1",0,NA,72.15
"403","403:L",26,NA,"JQ1",1,19,428.58
"405","405:L",26,NA,"JQ1",1,14,184.99
"408","408:L",26,NA,"JQ1",1,19,441.27
"409","409:L",26,NA,"JQ1",1,19,58.23
"401","401:L",28,1173.19125850667,"Vehicle",0,NA,83.72
"416","416:L",28,NA,"Vehicle",1,19,147.93
"414","414:L",28,342.461294933333,"Vehicle",0,NA,195.88
"411","411:L",28,NA,"Vehicle",1,19,96.94
"418","418:L",28,NA,"Vehicle",1,14,93.81
"404","404:L",28,NA,"Vehicle",1,19,278.73
"412","412:L",28,NA,"Vehicle",1,14,309.55
"no tag","no tag:L",28,730.56837789,"Vehicle",0,NA,244.12
"425","425:L",28,1172.58938906333,"JQ1",0,NA,176.63
"419","419:L",28,928.095873806667,"JQ1",0,NA,138.45
"406","406:L",28,NA,"JQ1",1,19,127.98
"407","407:L",28,788.45281308,"JQ1",0,NA,72.15
"403","403:L",28,NA,"JQ1",1,19,428.58
"405","405:L",28,NA,"JQ1",1,14,184.99
"408","408:L",28,NA,"JQ1",1,19,441.27
"409","409:L",28,NA,"JQ1",1,19,58.23
